id,ChEBI,CID
s_0669[lp],CHEBI:16933,444679
s_0670[c],CHEBI:52973,44176397
s_0672[c],CHEBI:52320,
s_0677[c],CHEBI:21285,440854
s_0678[m],CHEBI:21285,440854
s_0679[p],CHEBI:21285,440854
s_0680[c],CHEBI:16236,702
s_0681[e],CHEBI:16236,702
s_0682[m],CHEBI:16236,702
s_0683[c],CHEBI:57603,444693
s_0684[e],CHEBI:57603,444693
s_0685[c],CHEBI:27750,8857
s_0686[e],CHEBI:27750,8857
s_0687[c],CHEBI:57692,46906035
s_0688[m],CHEBI:57692,46906035
s_0689[c],CHEBI:58307,46931118
s_0690[m],CHEBI:58307,46931118
s_0692[lp],CHEBI:175763,15983959
s_0694[c],CHEBI:35366,
s_0699[ce],CHEBI:17038,440371
s_0700[c],CHEBI:17038,440371
s_0702[e],CHEBI:17038,440371
s_0703[lp],CHEBI:17038,440371
s_0709[m],CHEBI:15991,
s_0710[m],CHEBI:16928,
s_0712[m],CHEBI:60344,53356674
s_0713[m],CHEBI:17119,
s_0714[c],CHEBI:58210,44229199
s_0715[e],CHEBI:58210,44229199
s_0716[m],CHEBI:58210,44229199
s_0717[c],CHEBI:57618,44229161
s_0719[c],CHEBI:62501,135761165
s_0720[e],CHEBI:62501,135761165
s_0721[c],CHEBI:16842,712
s_0722[c],CHEBI:15740,283
s_0723[e],CHEBI:15740,283
s_0724[m],CHEBI:15740,283
s_0725[c],CHEBI:29806,5460307
s_0726[e],CHEBI:29806,5460307
s_0727[m],CHEBI:29806,5460307
s_0734[c],CHEBI:16865,119
s_0736[e],CHEBI:16865,119
s_0738[m],CHEBI:16865,119
s_0739[c],CHEBI:58189,135398618
s_0740[g],CHEBI:58189,135398618
s_0741[m],CHEBI:58189,135398618
s_0742[n],CHEBI:58189,135398618
s_0743[c],CHEBI:57527,135398626
s_0744[g],CHEBI:57527,135398626
s_0745[c],CHEBI:58057,19379894
s_0746[lp],CHEBI:58756,5497105
s_0747[c],CHEBI:29166,
s_0748[c],CHEBI:29157,
s_0749[m],CHEBI:29157,
s_0750[c],CHEBI:57925,7048684
s_0751[e],CHEBI:57925,7048684
s_0752[m],CHEBI:57925,7048684
s_0753[v],CHEBI:57925,7048684
s_0754[c],CHEBI:58297,40467895
s_0755[e],CHEBI:58297,40467895
s_0756[m],CHEBI:58297,40467895
s_0757[c],CHEBI:29156,
s_0764[c],CHEBI:58027,643984
s_0765[c],CHEBI:17754,753
s_0766[e],CHEBI:17754,753
s_0767[c],CHEBI:57597,7048686
s_0769[lp],CHEBI:57597,7048686
s_0770[m],CHEBI:57597,7048686
s_0771[c],CHEBI:16016,670
s_0773[c],CHEBI:28087,
s_0774[v],CHEBI:28087,
s_0775[c],CHEBI:17071,756
s_0776[e],CHEBI:17071,756
s_0777[m],CHEBI:17071,756
s_0779[c],CHEBI:36655,3614358
s_0780[e],CHEBI:36655,3614358
s_0781[p],CHEBI:36655,3614358
s_0782[c],CHEBI:58115,135398630
s_0783[g],CHEBI:58115,135398630
s_0785[c],CHEBI:57600,135873450
s_0786[m],CHEBI:57600,135873450
s_0787[c],CHEBI:16235,135398634
s_0788[e],CHEBI:16235,135398634
s_0789[m],CHEBI:16235,135398634
s_0790[c],CHEBI:16750,135398635
s_0791[e],CHEBI:16750,135398635
s_0792[m],CHEBI:16750,135398635
s_0793[ce],CHEBI:24636,5460653
s_0794[c],CHEBI:24636,5460653
s_0795[er],CHEBI:24636,5460653
s_0796[e],CHEBI:24636,5460653
s_0797[g],CHEBI:24636,5460653
s_0798[lp],CHEBI:24636,5460653
s_0799[m],CHEBI:24636,5460653
s_0800[n],CHEBI:24636,5460653
s_0801[p],CHEBI:24636,5460653
s_0802[v],CHEBI:24636,5460653
s_0803[c],CHEBI:15377,962
s_0804[er],CHEBI:15377,962
